video,release_date,id,genre_ids,adult,original_title,poster_path,title,overview,original_language,backdrop_path,popularity,vote_count,vote_average
False,2023-07-08,575264,"[28, 53]",False,Mission: Impossible - Dead Reckoning Part One,/NNxYkU70HPurnNCSiCjYAmacwm.jpg,Mission: Impossible - Dead Reckoning Part One,"Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.",en,/628Dep6AxEtDxjZoGP78TsOxYbK.jpg,2645.664,2211,7.663
False,2023-10-25,507089,"[27, 9648]",False,Five Nights at Freddy's,/A4j8S6moJS2zNtRR8oWF08gRnL5.jpg,Five Nights at Freddy's,"Recently fired and desperate for work, a troubled young man named Mike agrees to take a position as a night security guard at an abandoned theme restaurant: Freddy Fazbear's Pizzeria. But he soon discovers that nothing at Freddy's is what it seems.",en,/7NRGAtu8E4343NSKwhkgmVRDINw.jpg,2066.109,1915,8.113
False,2023-07-03,678512,"[28, 18]",False,Sound of Freedom,/qA5kPYZA7FkVvqcEfJRoOy4kpHg.jpg,Sound of Freedom,"The story of Tim Ballard, a former US government agent, who quits his job in order to devote his life to rescuing children from global sex traffickers.",en,/pA3vdhadJPxF5GA1uo8OPTiNQDT.jpg,1501.712,1297,8.154
False,2023-11-08,609681,"[28, 12, 878]",False,The Marvels,/tUtgLOESpCx7ue4BaeCTqp3vn1b.jpg,The Marvels,"Carol Danvers, aka Captain Marvel, has reclaimed her identity from the tyrannical Kree and taken revenge on the Supreme Intelligence. But unintended consequences see Carol shouldering the burden of a destabilized universe. When her duties send her to an anomalous wormhole linked to a Kree revolutionary, her powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol’s estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe.",en,/feSiISwgEpVzR1v3zv2n2AU4ANJ.jpg,1118.064,170,6.429
False,2023-05-17,385687,"[28, 80, 53]",False,Fast X,/fiVW06jE7z9YnO4trhaMEdclSiC.jpg,Fast X,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",en,/4XM8DUTQb3lhLemJC51Jx4a2EuA.jpg,1014.236,4193,7.2
False,2023-10-26,975902,"[28, 10752]",False,Boudica,/ssEFC5wfFjj7lJpUgwJDOK1Xu1J.jpg,Boudica,"Inspired by events in A.D. 60, Boudica follows the eponymous Celtic warrior who rules the Iceni people alongside her husband Prasutagus. When he dies at the hands of Roman soldiers, Boudica’s kingdom is left without a male heir and the Romans seize her land and property.  Driven to the edge of madness and determined to avenge her husband’s death, Boudica rallies the various tribes from the region and wages an epic war against the mighty Roman empire.",en,/tj7mp7uWjVw5N73G5Hwm1bkMOcD.jpg,1009.96,44,6.648
False,2023-09-29,939335,"[28, 80, 18, 53]",False,Muzzle,/qXChf7MFL36BgoLkiB3BzXiwW82.jpg,Muzzle,"LAPD K-9 officer Jake Rosser has just witnessed the shocking murder of his dedicated partner by a mysterious assailant. As he investigates the shooter’s identity, he uncovers a vast conspiracy that has a chokehold on the city in this thrilling journey through the tangled streets of Los Angeles and the corrupt bureaucracy of the LAPD.",en,/eSsMzJpzAwCa69tm6Wco2il44aJ.jpg,830.269,107,6.748
False,2023-08-30,926393,"[28, 53, 80]",False,The Equalizer 3,/b0Ej6fnXAP8fK75hlyi2jKqdhHz.jpg,The Equalizer 3,"Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia.",en,/tC78Pck2YCsUAtEdZwuHYUFYtOj.jpg,866.541,1509,7.414
False,2023-09-26,951491,"[27, 53]",False,Saw X,/aQPeznSu7XDTrrdCtT5eLiu52Yu.jpg,Saw X,"Between the events of 'Saw' and 'Saw II', a sick and desperate John Kramer travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer, only to discover the entire operation is a scam to defraud the most vulnerable. Armed with a newfound purpose, the infamous serial killer returns to his work, turning the tables on the con artists in his signature visceral way through devious, deranged, and ingenious traps.",en,/dZbLqRjjiiNCpTYzhzL2NMvz4J0.jpg,786.323,966,7.383
False,2023-08-27,1000081,"[28, 35, 80]",False,Sentinelle,/wrFg0Q1kqfOhxlRvb8Dle7WF58F.jpg,Sentinelle,"François Sentinelle has two lives. By day, he is the most famous cop of Réunion Island, known for his tough methods and flowery shirts, pursuing criminals in his famous yellow defender. But the rest of the time, Sentinelle is also a charming singer.",fr,/nohrh9aHNB1ehXmdtTZV5vStzcs.jpg,784.801,185,5.219
